"","PROVINCIAS.PROVINCIA","GINI_PROV"
"1",152,0.295980996084979
"2",151,0.306617741279397
"3",142,0.354544475760172
"4",141,0.326186396905949
"5",136,0.317808626101841
"6",135,0.329091659081175
"7",134,0.320932417949911
"8",133,0.355422915091243
"9",132,0.299967054855633
"10",131,0.293659742343055
"11",124,0.308384912093567
"12",123,0.285424487899172
"13",122,0.305570720430825
"14",121,0.288747208499478
"15",114,0.350345727080111
"16",113,0.370955855511031
"17",112,0.338253222024998
"18",111,0.343746073062259
"19",104,0.348201780460509
"20",103,0.33530152893733
"21",102,0.339191023061167
"22",101,0.335828319801056
"23",92,0.35930827510528
"24",91,0.335611386237794
"25",84,0.337502822185194
"26",83,0.344902794364796
"27",82,0.359191928136489
"28",81,0.306065536683705
"29",74,0.347652589147937
"30",73,0.341055259745422
"31",72,0.355047637363997
"32",71,0.332245002403608
"33",63,0.335229253744635
"34",62,0.349208022690947
"35",61,0.327723045695526
"36",58,0.287091890911291
"37",57,0.326926354618974
"38",56,0.306751250345795
"39",55,0.31886860996435
"40",54,0.331261439245664
"41",53,0.311424365677076
"42",52,0.296928270753548
"43",51,0.284310191217178
"44",43,0.345292697071149
"45",42,0.346440415436305
"46",41,0.312957458536477
"47",33,0.335761212103102
"48",32,0.316506609271443
"49",31,0.319438081308173
"50",23,0.30310018434046
"51",22,0.300574616356139
"52",21,0.290418449226812
"53",14,0.308006349361869
"54",11,0.314769617323507
