"","REGIONES.REGION","GINI_REG"
"1",15,0.306460034214823
"2",14,0.334321464326352
"3",13,0.301660020934447
"4",12,0.29192120069801
"5",11,0.34443281871612
"6",10,0.337361868949428
"7",9,0.3413677357416
"8",8,0.327397228151988
"9",7,0.341034749091943
"10",6,0.331002573612701
"11",5,0.299787935971603
"12",4,0.3262562552629
"13",3,0.323871781245994
"14",2,0.294306778890819
"15",1,0.314201002204589
